id,manual terms,role,feature,benefit,
1453,,home owner,a smart garage door opener,when i pull up on my motorcycle it senses the bike and opens the door automatically without me having to get off the bike,
1454,,living person,medical sensors to detect when a life threatening medical even occurs (heart attack) and notify emergency services,I can survive a life threatening event if I am unable to call for assistance,
1455,,home owner,smart doggie door,"when my dog approaches it, the collar is sensed and allows him entry but locks afterward",
1456,,energy consumer,heat and air conditioning to activate and de-activate as I move from one room to another,I can save energy,
1457,,home owner,a smart shower which signals when i pre programmed temperature is reached,i dont burn myself or walk into a cold shower or waste water,
1458,,home owner,smart radiant floor heating,as i walk into a room only that rooms floor heating is engaged,
1459,,home owner,smart water sprinklers,they only turn on when they sense that there has been a shortage in natural water fall,
1460,,home owner,sensors to detect a break-in and automatically close and lock the doors of the room containing intruder,I have time to take emergency action when a break-in occurs,
1461,,home owner,a smart mailbox,i receive smart phone notifications when mail is placed in my box,
1462,,home owner,a smart desktop and monitor ,when i enter the room the computer automatically wakes and turns the monitor on and when i leave for an extended time automatically puts the computer into sleep mode and turns the monitors off,
1463,,home owner,smart locks,like a car key fob doors lock and unlock depending on the proximity of the key i keep on my person,
1464,,home owner,biometric controls on locks,"i have greater security for my home and convenience, i can never be locked out again",
1465,,home owner,smart vacation lighting,when i am away the house knows my typical lighting habits and continues those while im away to keep would be intruders deterred,
1466,,home occupant,outlet timers,I could turn on certain light decorations at night and have them turn off in the morning.,
1467,,home owner,humidity sensors ,my humidifiers function more accurately in the basement.,
1468,,home occupant,music sensors,I can play music on the house surround in any room by stating a request.,
1469,,home occupant,thermometer that's aware of the daylight,"it lowers the temperature in the house when sunny out, or raises it when it gets dark.",
1470,,home occupant,motion activated alert system,I am aware whenever anyone is at my doors.,
1471,,home owner,water amount alerter,I am aware of how much water I am using at a time.,
1472,,home owner,remote access to fire alarms,I am aware if my fire alarms go off while I am not at home.,
1473,,pet owner,remote light access,I can turn my lights on or off for my cats when I am not at home if it gets dark or daylight.,
1474,,home owner,energy alerter,I am aware of how much energy I am using in the house at a given time.,
1475,,home owner,remote access to outlets,I can turn them off to avoid energy vampires.,
1476,,home owner,"The sprinkler system to not only be timed, but to only go off depending on saturation.",water can be conserved.,
1478,,home occupant,Heat in each room I am in to be set at 70 degrees.,I am comfortable at all times.,
1479,,gadget enthusiast,"a unit that will control the lights, sounds, temperature and entertainment devices in the house",I can easily control everything in the house,
1480,,home owner,to recieve a text message at any point during the day when my electricity and water usage exceeds an acceptable level,my utility bill isn't unpredictable or greater than i'm willing to pay ,
1481,,parent,security windows that will change transparency and darken while I am away.,my house will be more secure to thieves.,
1483,,home owner,my water heater to turn on at 3 am monday through friday,Have hot water ready for my morning shower at 330am,
1484,,home occupant,"my TV to be able to judge my mood that day and be able to play what will interest me most,",I will be able to relax easier at the end of the day.,
1485,,home occupant,my windows to be open whenever the weather is temperate (between 60 and 75 degrees F),I can automatically breathe fresh air when it wouldn't be extremely costly to do so,
1486,,smart home owner,the option to unlock the front door from an app or remote when visitor has been verified from an auditory system.,I do not have to walk to the door to let in a welcomed guest,
1487,,parent,"my kids monitoring system, during nights, to check weather they have a sound sleep",it helps me to understand their mental and physical health.,
1488,,health nut,something in the kitchen to track my weight and calorie intake,I can keep in shape,
1489,,home occupant,an oven that will learn when I am home from work and turn itself on to warm my dinner,I will not have to worry about it aftera long day.,
1490,,home occupant,"Alarm clock to turn the light lights on, slowly increasing the amount of light",Am woken up slowly,
1491,,home occupant,the speaker system to detect different moods to change music accordingly (if playing).,I can enjoy the right music at the right time.,
1492,,home occupant,My refrigerator to notify me on my smartphone that its stock needs to replenished.,"So that I could stock it up with the things I needs most, and never run out of the same. ",
1493,,parent,kitchen safety system to get automatically on after 10:00 PM,my kids as well my total family is safe during nights.,
1494,,home occupant,sensors on the doors and windows,we know when someone is entering the house,
1495,,pet owner,my smart home to open the back door whenever it detects my dog's presence for longer than 3 minutes,my dog is able to relieve itself outside without a long waiting period. ,
1496,,home owner,Smart receptacles that stop the flow of current to plugged in items when not in use,electricity is saved as well as money,
1497,,home occupant,The outside lights to come one when I arrive in the parking lot.,I have the added security when i arrive home.,
1498,,parent,doors and windows to be shut after 10:00 Pm at night,we are safe at home from theft,
1499,,old movie lover,to recieve text notification of new movies that match my viewing criteria are added to an online library,I can stream the movie at home,
1500,,home occupant,a washer/dryer combo that will be controlled by my phone or mobile device to do my laundry at set times,I won't have to worry about it.,
1501,,pet owner,a door that will allow my pets to go out or in by recognition.,it will prevent other unwanted guests from entering.,
1502,,home occupant,my smart home to alert me whenever a presence is detected on the downstairs level when I've recorded that I am upstairs for the night,I can feel safe living alone and know if an intruder has entered my house. ,
1503,,home owner,a sensor to tell me when and what my lawn needs to be healthy,I always have a nice lawn,
1504,,home owner,all power usage to be turned down when no one is home.,the wasteful use of energy ,
1505,,pet owner,"a SMART Home option that will allow my pet to walk to the door, bark, and a dog door raises to let them out",it will keep unwanted animals from aimlessly wandering into your house.,
1506,,parent,"a crib that will sense any disturbances in my baby's sleep, including crying or needing a diaper change",I will know my baby is resting comfortably.,
1507,,home owner,a shower that will adjust the water temperature automatically to preferred temperatures.,"depending on the room's temperature, the water will be just right.",
1508,,home owner,to be alerted to any intruders to my property,I can be safe in my home,
1509,,home occupant,"blinds that are powered by the sun, that open when it is sunny, and close when it's dark",I can save electricity from constantly keeping the light on,
1510,,home occupant,my system to make sure the overhead tank is not empty,we are not bothered about the water level ,
1511,,health enthusiast,have a voice feature connected to my surround sound system at home that reminds me to exercise ,i stay on track with my fitness goals ,
1513,,home occupant,to be able to view all my homes systems from my smart phone,I can adjust these setting from anywhere.,
1514,,nanny,my smart home to close off certain regions of the home while watching children by automatically moving sliding doors,the children will remain safe and contained while playing within one area of the home. ,
1515,,gamer,smart box to manage internet cabling,I can change how the internet is wired in the house,
1516,,home gardener,"my smart home to sense when the soil in the front and back yards are are dry,",it can turn on and off the watering system according to specified seasons and temps to save water and energy.,
1517,,home owner,to be able to monitor my home while away,I can check that things are okay,
1518,,home occupant,a feature that will scan my toothbrush and remind me when to replace it,I won't forget.,
1519,,parent,Cameras with recognition,any unrecognizable guest appearance will have a photo sent to my phone and/or email.,
1520,,parent,understand the calories of food taken by my kids,it helps me understand their requirement and as well check with their health.,
1521,,smart home owner,the option to activate the opening and closing of window curtains by using a remote or smart phone application,during the day the blinds can be open and closed when necessary without having to manually open and close them.,
1522,,busy homeowner,to recieve text alerts if i leave my garage door open after leaving,I dont leave my garage door open unknowingly,
1523,,health conscious person,My medicine pill holder to notify me about the pill that are going to expire,So that I can replace the old one and purchase new one.,
1524,,aunt,safety outlets,to prevent my nieces and nephews from getting shocked,
1525,,home owner,I want a device that regulates the water flow of faucets and toilets,I can save water,
1526,,gardener,"my water sprinklers to automatically water the plants at home,",the moisture in the plants is well maintained all the time.,
1527,,home occupant,my smart home to play a specific playlist or genre of music when I verbally tell my sound system what mood I am in,I can enjoy mood appropriate music throughout the house. ,
1528,,home occupant,Smart sender bell,When I came to home the door identify my finger print,
1529,,home occupant,"electric blanket to be turned one 30 min before I go to bed,",it is warm when I get into bed.,
1530,,parent,"monitoring system for my television, about which channel are preferred by my kids",to understand the interest of my kids,
1531,,home occupant,"my smart home to learn when I am not around and to turn off unnecessary items like TVs, coffeemaker, radio, etc.",it will save me on electricity,
1532,,health conscious person,My medicine pill holder to notify me that new pills need to be purchased.,So that I can purchase new pills.,
1533,,home owner,a device that can protect my airspace from drones,I can feel safe in my privacy,
1534,,parent,the deviation in temperature of my kids at home,understand well about their health,
1535,,home occupant,my smart home to turn on fans automatically when stagnant air is detected ,I can experience proper air flow and reduce discomfort. ,
1536,,cold natured person,to have my heat turn itself on if the temperature outside dips below a certain level,when i come home its warm,
1537,,parent,a sensor in my children's play area that will sound an alarm if someone is hurt,I may rest easy knowing that my children are safe.,
1538,,energy conscious occupant,smart thermostat,the temperatures in each room stay regulated at all times,
1539,,home occupant,"my child TV to automatically turn off a set time, ",so they don't watch too much TV.,
1540,,home owner,a roof made of solar panels that functions as a roof and an energy source,I can save electricity and money,
1541,,home owner,a smart detector for lethal gases or smoke to go to my email and/or phone,even when I am not around I will be notified immediately.,
1542,,wife,database of my husband's blood sugar and pressure ,i can help him keep his health appropiately,
1543,,parent,Smart camera gps,I can seen where my child is,
1544,,home occupant,"a speaker at the door that asks a person to name himself before he rings the door bell,",I don't need to always see through the peephole,
1545,,home occupant,remote smoke detectors,we will be alerted if they are triggered,
1546,,home occupant,the temperature to be adjusted in individual rooms,I don't have to wait to heat or cool the whole house and waste time and money when there is only a few people inside.,
1547,,home occupant,my smart home to alert me when a single electronic device or source is requiring a significant amount of electricity ,I can reduce or eliminate unnecessary electric bill costs and save energy,
1548,,pet owner,a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet,I will be confident they are safe outside.,
1549,,home occupant,fire place turns one when I get home from work,it will be warm and relaxing after work. ,
1550,,pet owner,a pet bed that will automatically warm or cool depending on the temperature of the pet,my pet will always be in comfort,
1551,,home occupant,"My door cam needs to notify me when this is unusual activity outside, example more than 3-4 person approaching the house",so that I am vigilant about any dangers.,
1552,,home maker,the temperature of the house to be maintained and as well inform on the temperature outside,my family people health is kept at control,
1553,,home owner,a device that keeps track of maintenance issues around the house,"I know when I may need to replace things such as water heater, roof ",
1554,,home occupant,My fish tank needs to monitor and notify that  ample fish food is present in the tank,So that I can refill the stock.,
1555,,home occupant,automatically closing curtains or blinds in areas where I might be changing or bathing,I will know no one is peeking in.,
1556,,home occupant,interior motion sensors,if door and window sensors fail we will still be alerted to activity in the home,
1557,,chef,"a stove that has a screen with built in recipes, can add recipes, and automatically preheats and times the food by recipe","I don't have to use a book or laptop, and the stove can program the time and heat itself",
1558,,pet owner,"smart sensor that automatically detects my pet's location in the house,",I don't need to always watch out for her whereabouts.,
1559,,home maker,i want to understand the temperature and blood pressure of my family members,which would help me to understand their mood swings,
1560,,home occupant,My fish tank needs to monitor and notify that  if there are any dead fish,"So that i can replace it, and clear the tank. ",
1561,,home owner,Paint sensor,So it can notify that my house needs some paint or maintainance,
1562,,home occupant,my smart home to have motion detecting lights in every room to be at full light when I am present and dim after I have left the room ,"I can experience well lit rooms but not have to worry about turning on or off the lights, while being energy efficient. ",
1563,,home owner,a device that can monitor my well being and health,I will be alerted to changes in my health,
1564,,pet owner,a wall feature that the pet can come to for a video call.,I can see my pet whenever i am out of the house.,
1566,,home occupant,my things in home to be safe  and turned off all lights,make safe of all my things on home and live safe,
1567,,home occupant,answering machine to play message when I walk into that  room,I don't miss anything important.,
1568,,parent,my fridge to identify my children by age and height and have a pre-prepared snack ready in a door for hem,I know they are eating the healthiest snacks possible.,
1569,,cleaner,auto vacuum,it will keep the floors clean at all times,
1570,,home owner,a device that show me deficiencies my home may have in it's efficiency,I can be more energy concious and efficient ,
1571,,home owner,Smart ac,When I came to home according to outside environment it got adjusted automatically,
1572,,parent,a smart computer that changes its setting according to the person who uses it,I don't need to put up parental settings all the time.,
1573,,smart home owner,to have the option to turn on digital electronics from a centralized CPU,I can save time and hassle when looking for remote controllers,
1574,,home occupant,"The electric switch should automatically  switch off lights, fans and TV when there is no one at home.",So that I save on electric bills.,
1575,,pet owner,my smart home to allot food to my pets in relationship to their tracked expended energy as determined by their collars and movement,my pets will receive more food appropriately when they have been especially active and will be hungry. ,
1576,,pet owner,automated food and water dishes,my dogs will have food and water at all times,
1577,,home occupant,Smart tv,That can run with voice,
1578,,home owner,to recieve text notification if water continually runs after a certain number of minutes,i don't recieve an excessively high water bill,
1579,,parent,added motion security to the perimeter of the yard,anyone who is approaching will notify me in case they are unwanted,
1580,,home occupant,a voice activated remote for the TV that can change channels using your voice or beep when misplaced,"if it gets lost in the room, you can still use it by saying a channel number or using the locator",
1581,,smart home owner,the ability to analyze energy consumption by CPU or smart phone,I can determine which rooms and devices are consuming the most energy.,
1582,,home occupant,"smart tag that I can attach to my car keys,",I don't need to search for them when they are lost.,
1584,,home owner,Sensor,When I touch it it can calculate how many people are inside the room,
1585,,home owner,recieve calendar/updates updates speak through my surround sound system,i dont lose track of time and miss appointments,
1586,,parent,my smart home to make available premade healthy snack options to my children after school,"my children may readily have food to eat when hungry, but not be able to eat the unhealthy options if not supervised. ",
1587,,home occupant,"geyser that automatically adjusts to optimal temperature settings,",I don't need to worry about burning my skin.,
1588,,home occupant,to cut off water flow ,water is saved and power consumption,
1589,,home occupant,an automated wake up call to my cell phone,"it can get me up and have the coffee start to brew, temperature adjusted, car started, etc to save time in the morning getting ready for work",
1590,,pet owner,"artificial, self cleaning pet area","during long work days, the puppy has a place that can be used like outside and then it is robotically cleaned.",
1591,,person trying to eat more healthy,a drawer in the fridge with a setting that makes fruits and veggies stay fresh for longer,I can eat them all before they go bad,
1592,,gardener,Smart watering ,If I am outside water plant on some specific time,
1593,,home occupant,My WiFi router to notify me on my smartphone if someone tried to unauthorizedly access it.,so that I am safe from hackers and intruders.,
1594,,car driver,"an auto-eject feature in my car,",I am automatically ejected from the vehicle if something hits it.,
1595,,smart home owner,to have the option to dim tinting on windows using smart tint digital technology,I could do away with blinds and still control light penetration,
1597,,home occupant,my things in home to be safe  and turned off all lights ,make safe of all my things on home and live safe ,
1598,,parent,Smart alert,I can know my child is present in class,
1599,,food lover,to have recipe tutorials viewable through my tv at the time i usually prepare dinner,i can receive instruction to try new meals ,
1600,,home occupant,"automatic windows that open up by themselves each morning,",I don't need to open and close them manually everyday.,
1602,,home occupant,Feature to notify health issue,I can detect do I need medicine,
1603,,home occupant,a device which automatically monitors and sweeps the floor.,so that my floor remains clean,
1604,,home occupant,the refrigerator to remind me went we're low on a certain item(s),we can stop and get it on the way home and save trips to the store,
1605,,smart home owner,Food making machine,so that I can use an app and send instructions on a pre-selected list of dishes,
1606,,student,automatic recorder that records all my conversations and automatically picks up the thing-to-do,I don't need to keep reminders.,
1607,,home occupant,heated shower curtains that keep the steam/heat inside the shower,I'm not cold too quickly when showering,
1608,,home owner,Locker,That nobody can open except me,
1609,,home occupant,to watch different channels at same time with time change,watch more channels with more peoples on their choice,
1610,,health enthusiast,to recieve voice commands set to tell me how many calories my dinner can consist of,i can meet my daily calorie consumption target,
1611,,smart home owner,to have standard automatic floor cleaning,housework can be kept up with minimal effort,
1613,,home occupant,to check my food to be healthy and things which we buy is organic,it makes us healthy,
1614,,home occupant,a sensor for my house piping system that detects chokes and calls up my plumber,I don't need to worry about the drain choking at home.,
1615,,smart home owner,push to open doors,I can mash a button and have the door open when my hands are full.,
1616,,pet owner,to remind me when the birds needs to be feed,so that they do not starve to death,
1617,,home owner,an auto door lock feature to lock my front door if i forget to lock it when leaving home,i can lock my home when i'm not physically there,
1618,,home occupant,a garbage can that permanently masks the smell of garbage by deodorizing,it smells nice,
1619,,home occupant,all the doors in the house to be under surveilance if no one is home,if someone breaks in it could send me an alert and have video evidence of an intruder,
1620,,home occupant,to attend my phone which i kept inside home where i was in other place,it makes easy if we miss to take it urgent calls,
1621,,home occupant,"my smart home to alert me when I get mail inside the mailbox, and how many pieces there are",I can see when I have mail,
1623,,home occupant,to lock and open my home when i was not there,it makes our family members to go inside without keys,
1624,,family head,system to monitor my parents health,to help them maintain their health,
1625,,home occupant,a laptop that opens most used programs every time it is turned on.,I can save time,
1626,,family member,Need to technology to understand the change in behaviour of my aging parents,to support them mentally and physically,
1628,,party thrower,to have monitored the beverages and foods my guests have the most,I can easily buy more for the next time they come over,
1629,,home occupant,my home to be clean and fragrant when i was not there,it makes feel better when we return from some journey,
1630,,home occupant,a coaster that keeps my beverage cold as if there was ice in it,It can stay cold and I won't waste more water by refilling with ice,
1631,,parent,"to understand the requirement of my kids, since being at office most of the time, I have less time to spend with them",I can help my wife to groom my kids,
1632,,home occupant,to keep all my things where it placed previously,it makes room clean,
1633,,parent,"have a closer look at the kids internet surfing , timing, interest",they dont get into wrong sites and get corrupted,
1634,,husband,to have a monitoring system for my kitchen equipments,it helps my wife to be safe,
1635,,home occupant,"a coffeepot that automatically makes coffee at 5AM, adds sugar and cream",I can wake up to a nice cup of coffee,
1636,,fitness freak,to have the fridge look up the caloric and nutrition info on remaining foods in the fridge,I can know what to avoid for the day/week,
1637,,head of the family,"understand the health of my aging parents, like BP, sugar",I can help them to keep their health properly,
1639,,head of the family,security system to alert me of unknown people getting into my house at my absence,to safe guard my family members,
1640,,medical professional,to know if there have been unusual movement patterns in the house that might indicate a trauma,help could be provided as soon as possible,
1641,,home occupant,"I want a refrigerator that automatically monitors and purchases groceries that are low,",I can save time from having to shop.,
1642,,movie watcher,to remotely set up playlist of movies to watch on TV when we get home,we can just sit down and relax together with little effort,
1644,,parent,understand the entertainment activity of my kids,I can get them the best that is required,
1645,,home occupant,media devices in the house to be incorporated into a single ecosystem,"I could be on top of news, events and entertainment all the time",
1646,,parent,understand the mood swings of my kids,I can help them focus on their studies and good health,
1647,,"healthy person,","a home that monitors my gym membership activity and reminds me to work out,",I can stay motivated to work out.,
1648,,home occupant,My Smart Home to notify when I need to buy favorite foods ,I may purchase the before I run out.,
1649,,home occupant,a monitor for the front door,I don't have to get up for those annoying witnesses or charity drives,
1650,,head of the family,"my electronic items to be periodically noted, as it might cause injury to my family members","I can change it or service it at appropriate time, make things for safety",
1651,,equipment serviceman,house equipment to automatically report malfunctions,repairs could be delivered quickly,
1653,,home occupant,"lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house",I could conserve energy,
1654,,home occupant,My Smart Home to turn on/offlights at selected time,it may appear I am home.,
1655,,parent,"childrends bedroom that automatically plays and doesn't play soothing music depending on if child is or isn't asleep,",my child will fall asleep easier.,
1656,,home occupant,my medicine cabinet to show me which medicines and drugs should not be taken together or may have expired,I don't risk unwanted side effects or health complications,
1657,,home occupant,to be able to call the police by voice command,I could call help when i can't reach other means of communication,
1659,,"tv fanatic,","house that records my favorite tv shows for me if I am not sitting on the couch,",I don't have to remember to schedule a recording.,
1660,,home occupant,"a toilet that will use less or more water depending on if I go number 1 or number 2,",I can have a lower water bill.,
1661,,home occupant,miniature robots to periodically vacuum the house,the house always stays clean and hypo-allergic,
1662,,home occupant,my cleaning devices to run when electricity prices are at their lowest,I may save money & not overtax the system.,
1663,,home occupant,the home to dynamically adjust temperature of the ac system depending on occupants' presence in certain areas,the air temperature and humidity are always comfortable within the house,
1664,,pet owner,home that will notify me by text message when my dog is barking,I know about any potential intruders,
1665,,home occupant,my TV/audio system to play my favorite news programs in various media ,at desiginated times so I can stay informed & remember it in various ways.,
1666,,home occupant,the windows in the kitchen have a transparent display for news and outside temperature,I could get an update on news and weather in the morning,
1667,,home occupant,the smart home to call the police if there has been trespassing while the owners are not at home,the residence and possessions within it remain safe,
1668,,"pet owner, home occupant",feature that will interect with my dog for an hour each day,so that my dog  will be  happy & engaged when I'm away from home.,
1669,,home occupant,the fridge to be able to automatically restock itself based on a pre-programmed schedule,I could always have a full stock of my favorite groceries,
1670,,owner of many devices,home that turn off a power outlet when it senses that a plugged in device is fully charged,I don't have to remember to unplug a fully charged device.,
1672,,music fan,home that will auto cast music to different rooms when I go from one room to another,I can continue to enjoy my music while I move around my home,
1673,,home occupant,a device that monitors basic health information when I am at home,I may be aware of any changes.,
1674,,home owner,home that will notify me if the stove or oven is on with no one in the home,there will be no fire hazard,
1675,,home occupant,my Smart House to bark loudly at randon times when I'm away,the neighbors/looters think I am inside,
1676,,home owner,a mail box that will automatically lock itself after the mail has been deliver,my mail cannot be stolen,
1678,,home occupant,My Smart Home to update me when asked about my energy consumption,benefit by knowing how I may change my usage.,
1679,,home occupant,my Smart Home to have an excellent taste of music,may dance & be happy at home.,
1681,,home occupant,my Smart Home to have many accents to talk to me in,"I may benefit from the presence of a Britt, Kiwi, or something just seductive",
1682,,pet owner,Alarm me whenever pets leave designated spot.,I know when my pet runs away.,
1683,,home occupant,to know when there's water running,I can turn off water and save.,
1684,,parent,an alarm system to alert everyone whenever it's time to eat,not inform everyone,
1685,,parent,to turn on and off electronics in the house,I can make sure when to conserve energy and make sure everyone goes to sleep on time.,
1686,,home occupant,an alarm that will sound my room really loud,I can wake up on time regardless of how I feel,
1687,,parent,a headcount of how many people come and leave the house.,I can keep up with the security in the house manually.,
1688,,parent,to be notified when someone is somewhere in the house where they don't belong,I can protect certain belongings.,
1689,,home occupant,a location finder for items,I can find whatever important I need whenever I forget.,
1690,,home occupant,a energy consumption detector,I can see whoever is using too much energy,
1691,,parent,a voice detector for whenever someone screams for cry of help,I can alert the police or authority whenever I'm not at home.,
1692,,tv show lover,my tv to send a notification to my phone to remind me when my favorite show are returning for a new season,i dont miss the first episode,
1693,,parent,to know when my fridge is running low on everyday essentials by sending me a message to my phone,i know my family doesn't run out of food that they use daily,
1694,,parent,to know how long my air conditioners been running each day by sending me a message to my phone,i could keep my energy bill in check,
1695,,parent,my kitchen stove and oven to notify me via text when i accidentally leave it on when im out the house or asleep,i could keep my family safe and not burn down the house,
1697,,parent,my to be notified when i have scheduled medication to take give the kids or myself when feeling sick,i dont forget to miss a dose and risk not feeling well longer,
1698,,music fan,my music device to notify me when my favorite artist release new music,i could keep up with their latest music and download it,
1699,,parent,my smart home to notify me when my smart phone is full charged,i could remove it and not risk burning out the battery or wasting unnecessary energy ,
1700,,home occupant,my laundry dryer to notify me when my clothes are dried even when it is still running,so i could remove them and not have to have the dryer running when it is not needed so i could save energy,
1701,,home owner,my windows and doors to be locked in accordance with my (or family members) voice 'LOCK' and 'UNLOCK',my home can maintain privacy and safety,
1702,,home occupant,to know how long my shower been running each day while my family and myself use it,i could save water and limit the usage and play my part in helping the environment,
1703,,parent,my tv to notify me how long my children spend each day watching their favorite shows,i could limit their viewing time and make sure they do other things more productive like exercise,
1704,,home owner,a internet radio streaming live broadcasting world wide to play according to my voice,I can enjoy my favorite music and play,
1705,,home occupant,an automatic shower,it comes on the same time I wake up so I can just walk in,
1706,,home occupant,automatic gas fireplace,I don't have to get up from the couch to turn it on,
1707,,health advisor,"to show the food calories, vitamins etc in our family food taken",I am aware of correct nutrition level.,
1708,,home occupant,automatic stove,I can turn it on when I am at work,
1709,,home occupant,an automatic clothes washer,"it can start on it's own, on a set schedule",
1710,,pet lover,my pets to be watched over screen and to know the necessary foods available for them,I can keep them healthy,
1712,,home occupant,room senors,"the second I walk in the room, the lights and tv can come on and my laptop will boot up without doing anything",
1713,,home occupant,automatic lawnmower,it can cut the grass itself without anyone doing it,
1714,,social worker,a bike which runs in herbs oil (not petrol/diesel),global-warming should be less and no co2,
1715,,home occupant,automatic toaster,it can cook my toast before I wake up,
1717,,home occupant,automatic toiletseat,"once I walk up to it, the lid opens and when I am finished, the lid shuts and flushes by itself",
1718,,home occupant,my dirty clothes clean without water and detergent powder,water can be saved,
1719,,home occupant,automatic meat dicer,I don't have to cut the meat and do a lot of work in the kitchen,
1721,,home occupant,an automatic trash can,"once it's full, it will alert me and will tie the bag shut by itself",
1724,,home occupant,"my children away from water, pit, pesticide and other poisonous things",I am aware of  my children safety,
1729,,home owner,my house lights and lamps got lighted from solar energy only without electricity,electricity can be saved,
1735,,home owner,an object replaced by Fans to be produced (breezing ) cool natural fresh air,I can save electricity and to be healthy,
1737,,home owner,"a mirror that shows weather reports, daily to-do listings, reminders etc using Glass technology","I am aware of my daily programs, forecast etc.",
1738,,home occupant,voice-activated lights,I can turn on and off the lights wherever I am in the room.,
1739,,parent,an alarm to go off whenever someone who is under a certain height goes out of the house,my children will be secure.,
1740,,home occupant,an automatic pet feeder,I won't have to take note of the time my pet last ate.,
1741,,home occupant,"to have changing ambiance ""scenes""",we will automatically have different themes for different events or parties.,
1742,,parent,automatic security gates on staircases,it will automatically put up security measures when my child comes within a few feet from the stairs.,
1743,,home occupant,an automatic solar panel,it will automatically switch all electrical consumption to solar and store energy during the day.,
1744,,home occupant,an automatic air conditioner that would detect when I am nearly home and automatically turn on,the house is already comfortably warm or cool when I enter it.,
1745,,home occupant,a security camera and a siren which can be remotely monitored,it would be good for chasing thieves away.,
1746,,home occupant,"a device that can be tagged to keys, pets, phones, etc.","if they are missing, I will be immediately informed and be able to locate them.",
1747,,home occupant,my appliances to send an alert when it needs cleaning or repair,it will be immediately notified and have it repaired.,
1748,,movie lover,my tv to tell me when new movie releases in my geners are released,i can keep up with new movies,
1749,,home owner,all the lights in every room to turn off at 11pm,we don't waste electricity and can sleep in peace,
1750,,home occupant,windows that open with smartphone,so that i dont have to do it manually.,
1751,,home occupant,sensors around house to tell me when someone gets within 10 ft of house,i can keep my family safe,
1752,,home occupant,something that automatically vaccums,so i dont have to do it manually.,
1753,,parent,the front and back doors to automatically lock after 6pm,if we forget to close them we don't have to worry about burglars,
1754,,home owner,my safe to alert my phone when someone tries to open it,i can know if someone is getting in,
1755,,home occupant,opens doors by fingerprints,so that i dont have to do it manually.,
1756,,home occupant,"something that cleans, dust.",no manual labor.,
1757,,bill payer,my phone to tell me the temp in my house and allow me to adjust it,i can keep my bill lower,
1758,,parent,my smartphone to have an app to show me video of the baby room at all times,i can always check on the well-being of my infant,
1759,,home occupant,a device that monitors the last time someone did a chore,I don't have to keep track of it,
1760,,home occupant,something that cuts grass,i dont have to do it manually.,
1761,,parent,my medicine cabinet to remind me to give children medicine,i don't forget to give them vitamins,
1762,,home occupant,a device that tells me what devices are taking up the most energy,I don't waste energy,
1763,,home owner,all my electronics in the living room to turn on when i open the front door,i dont' waste time turning everything on manually,
1764,,home occupant,something that prevents sun from coming in windows.,so no sun pentrates.,
1765,,parent,a medice cabnit that locks and lets me know when someone tries to open it,pills can not be misused,
1766,,home occupant,sprinklers that come on automatically and consumers water,so i dont have to do it.,
1767,,home occupant,my house to turn off devices that haven't been used in a certain amount of time,I don't waste energy,
1768,,home occupant,something that turns my tv on at a certain time of the day,so i dont have to do it,
1769,,home occupant,cameras that turn on when they sense movement,trespassers can be identified,
1770,,home occupant,automatic shower heads turning on at a certain time.,enables it to get hot,
1771,,home owner,to send grocery list from fridge to phone,i wont forget my list,
1772,,home occupant,turns fans on at a certain temp,dont have to do it manually.,
1773,,home occupant,a water guage,I can keep track of how much water has been used that month,
1774,,parent,to control tv consumption from my phone,my kids cant watch all the time,
1775,,home owner,my home to adjust the lighting on my computer and television screens according to the amount of light in the room,straining in my eyes are reduced while I am working or reading.,
1776,,parent,to shut off all phones in the house at certain times,i can control media usage,
1777,,home occupant,a loud speaker system,I don't have to yell ,
1779,,home owner,my phone to tell me when someothing is wrong with the electrical system in house,i can get it fixed,
1780,,student,reminders to pop up after a certain amount of time,I don't forget to do my work,
1781,,pet owner,my phone to alert me if the dog leaves the premise using a sensor on the dog's collar,i know if the dog has escaped the area,
1783,,home owner,the temperature to always be changeable via a phone app,i can have all thermostats change to a specific temperature using just one device,
1784,,home occupant,my home to adjust the air flow and amount of humidity,I can do things comfortably in my home without getting overheated.,
1787,,parent,the ability to remotely unlock the house,if someone forgets their key they don't have to break in or wait,
1788,,home owner,an app to turn off the stove in case i'm not home and i forgot to turn it off,i won't cause a possible fire and waste energy,
1789,,pet owner,a device that tells me when my pet gets into a room or something they're not meant to be in (i.e. the trash),I can get them soomer,
1791,,home occupant,a rotating closet rack,i just think it would be cool,
1792,,home owner,my home to tell me when there is spoiled food in the refigerator,I know when to throw out food.,
1794,,home owner,an app which shows video of who rang my doorbell when i wasn't at home,i can see who stopped by when i wasn't home,
1796,,parent,an app that tells me if my child gets near a dangerous appliance like a stove,safety for my child,
1797,,home owner,my home to record television shows I missed while I was away,I can watch them when I have free time.,
1799,,parent,a sensor to go off if my child tries to open an electrical device ,my child doesn't receive an electric shock,
1800,,home owner,my smart home to set alarms to remind me when to take medicine,I don't forget to take them.,
1801,,parent,my smart floor to alert me when ever my child keep non eatable item in her mouth,I can rush to them and stop her before putting it in her mouth,
1803,,home owner,my smart home to contact the police if anyone has broken into my home,my home can be protected while I am away.,
